customer_key,source_system,customer_id_source,CompanyName,ContactName,City,Country,PostalCode,Address,Phone
50,sqlserver,FAMIA,Familia Arquibaldo,Aria Cruz,Sao Paulo,Brazil,05442-030,"Rua Orós, 92",(11) 555-9857
51,sqlserver,FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Madrid,Spain,28034,"C/ Moralzarzal, 86",(91) 555 94 44
52,sqlserver,FOLIG,Folies gourmandes,Martine Rancé,Lille,France,59000,"184, chaussée de Tournai",20.16.10.16
53,sqlserver,FOLKO,Folk och fä HB,Maria Larsson,Bräcke,Sweden,S-844 67,Åkergatan 24,0695-34 67 21
54,sqlserver,FRANK,Frankenversand,Peter Franken,München,Germany,80805,Berliner Platz 43,089-0877310
55,sqlserver,FRANR,France restauration,Carine Schmitt,Nantes,France,44000,"54, rue Royale",40.32.21.21
56,sqlserver,FRANS,Franchi S.p.A.,Paolo Accorti,Torino,Italy,10100,Via Monte Bianco 34,011-4988260
57,sqlserver,FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Lisboa,Portugal,1675,Jardim das rosas n. 32,(1) 354-2534
58,sqlserver,GALED,Galería del gastrónomo,Eduardo Saavedra,Barcelona,Spain,08022,"Rambla de Cataluña, 23",(93) 203 4560
59,sqlserver,GODOS,Godos Cocina Típica,José Pedro Freyre,Sevilla,Spain,41101,"C/ Romero, 33",(95) 555 82 82
60,sqlserver,GOURL,Gourmet Lanchonetes,André Fonseca,Campinas,Brazil,04876-786,"Av. Brasil, 442",(11) 555-9482
61,sqlserver,GREAL,Great Lakes Food Market,Howard Snyder,Eugene,USA,97403,2732 Baker Blvd.,(503) 555-7555
62,sqlserver,GROSR,GROSELLA-Restaurante,Manuel Pereira,Caracas,Venezuela,1081,5ª Ave. Los Palos Grandes,(2) 283-2951
63,sqlserver,HANAR,Hanari Carnes,Mario Pontes,Rio de Janeiro,Brazil,05454-876,"Rua do Paço, 67",(21) 555-0091
64,sqlserver,HILAA,HILARION-Abastos,Carlos Hernández,San Cristóbal,Venezuela,5022,Carrera 22 con Ave. Carlos Soublette #8-35,(5) 555-1340
65,sqlserver,HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Elgin,USA,97827,City Center Plaza 516 Main St.,(503) 555-6874
66,sqlserver,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Cork,Ireland,,8 Johnstown Road,2967 542
67,sqlserver,ISLAT,Island Trading,Helen Bennett,Cowes,UK,PO31 7PJ,Garden House Crowther Way,(198) 555-8888
68,sqlserver,KOENE,Königlich Essen,Philip Cramer,Brandenburg,Germany,14776,Maubelstr. 90,0555-09876
69,sqlserver,LACOR,La corne d'abondance,Daniel Tonini,Versailles,France,78000,"67, avenue de l'Europe",30.59.84.10
70,sqlserver,LAMAI,La maison d'Asie,Annette Roulet,Toulouse,France,31000,1 rue Alsace-Lorraine,61.77.61.10
71,sqlserver,LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Vancouver,Canada,V3F 2K1,1900 Oak St.,(604) 555-3392
72,sqlserver,LAZYK,Lazy K Kountry Store,John Steel,Walla Walla,USA,99362,12 Orchestra Terrace,(509) 555-7969
73,sqlserver,LEHMS,Lehmanns Marktstand,Renate Messner,Frankfurt a.M.,Germany,60528,Magazinweg 7,069-0245984
74,sqlserver,LETSS,Let's Stop N Shop,Jaime Yorres,San Francisco,USA,94117,87 Polk St. Suite 5,(415) 555-5938
75,sqlserver,LILAS,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,(9) 331-6954
76,sqlserver,LINOD,LINO-Delicateses,Felipe Izquierdo,I. de Margarita,Venezuela,4980,Ave. 5 de Mayo Porlamar,(8) 34-56-12
77,sqlserver,LONEP,Lonesome Pine Restaurant,Fran Wilson,Portland,USA,97219,89 Chiaroscuro Rd.,(503) 555-9573
78,sqlserver,MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Bergamo,Italy,24100,Via Ludovico il Moro 22,035-640230
79,sqlserver,MAISD,Maison Dewey,Catherine Dewey,Bruxelles,Belgium,B-1180,Rue Joseph-Bens 532,(02) 201 24 67
80,sqlserver,MEREP,Mère Paillarde,Jean Fresnière,Montréal,Canada,H1J 1C3,43 rue St. Laurent,(514) 555-8054
81,sqlserver,MORGK,Morgenstern Gesundkost,Alexander Feuer,Leipzig,Germany,04179,Heerstr. 22,0342-023176
82,sqlserver,NORTS,North/South,Simon Crowther,London,UK,SW7 1RZ,South House 300 Queensbridge,(171) 555-7733
83,sqlserver,OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Buenos Aires,Argentina,1010,Ing. Gustavo Moncada 8585 Piso 20-A,(1) 135-5333
84,sqlserver,OLDWO,Old World Delicatessen,Rene Phillips,Anchorage,USA,99508,2743 Bering St.,(907) 555-7584
85,sqlserver,OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Köln,Germany,50739,Mehrheimerstr. 369,0221-0644327
86,sqlserver,PARIS,Paris spécialités,Marie Bertrand,Paris,France,75012,"265, boulevard Charonne",(1) 42.34.22.66
87,sqlserver,PERIC,Pericles Comidas clásicas,Guillermo Fernández,México D.F.,Mexico,05033,Calle Dr. Jorge Cash 321,(5) 552-3745
88,sqlserver,PICCO,Piccolo und mehr,Georg Pipps,Salzburg,Austria,5020,Geislweg 14,6562-9722
89,sqlserver,PRINI,Princesa Isabel Vinhos,Isabel de Castro,Lisboa,Portugal,1756,Estrada da saúde n. 58,(1) 356-5634
90,sqlserver,QUEDE,Que Delícia,Bernardo Batista,Rio de Janeiro,Brazil,02389-673,"Rua da Panificadora, 12",(21) 555-4252
91,sqlserver,QUEEN,Queen Cozinha,Lúcia Carvalho,Sao Paulo,Brazil,05487-020,"Alameda dos Canàrios, 891",(11) 555-1189
92,sqlserver,QUICK,QUICK-Stop,Horst Kloss,Cunewalde,Germany,01307,Taucherstraße 10,0372-035188
93,sqlserver,RANCH,Rancho grande,Sergio Gutiérrez,Buenos Aires,Argentina,1010,Av. del Libertador 900,(1) 123-5555
94,sqlserver,RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,87110,2817 Milton Dr.,(505) 555-5939
95,sqlserver,REGGC,Reggiani Caseifici,Maurizio Moroni,Reggio Emilia,Italy,42100,Strada Provinciale 124,0522-556721
96,sqlserver,RICAR,Ricardo Adocicados,Janete Limeira,Rio de Janeiro,Brazil,02389-890,"Av. Copacabana, 267",(21) 555-3412
97,sqlserver,RICSU,Richter Supermarkt,Michael Holz,Genève,Switzerland,1203,Grenzacherweg 237,0897-034214
98,sqlserver,ROMEY,Romero y tomillo,Alejandra Camino,Madrid,Spain,28001,"Gran Vía, 1",(91) 745 6200
99,sqlserver,SANTG,Santé Gourmet,Jonas Bergulfsen,Stavern,Norway,4110,Erling Skakkes gate 78,07-98 92 35
100,sqlserver,SAVEA,Save-a-lot Markets,Jose Pavarotti,Boise,USA,83720,187 Suffolk Ln.,(208) 555-8097
101,sqlserver,SEVES,Seven Seas Imports,Hari Kumar,London,UK,OX15 4NB,90 Wadhurst Rd.,(171) 555-1717
102,sqlserver,SIMOB,Simons bistro,Jytte Petersen,Kobenhavn,Denmark,1734,Vinbæltet 34,31 12 34 56
103,sqlserver,SPECD,Spécialités du monde,Dominique Perrier,Paris,France,75016,"25, rue Lauriston",(1) 47.55.60.10
104,sqlserver,SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Lander,USA,82520,P.O. Box 555,(307) 555-4680
105,sqlserver,SUPRD,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,B-6000,"Boulevard Tirou, 255",(071) 23 67 22 20
106,sqlserver,THEBI,The Big Cheese,Liz Nixon,Portland,USA,97201,89 Jefferson Way Suite 2,(503) 555-3612
107,sqlserver,THECR,The Cracker Box,Liu Wong,Butte,USA,59801,55 Grizzly Peak Rd.,(406) 555-5834
108,sqlserver,TOMSP,Toms Spezialitäten,Karin Josephs,Münster,Germany,44087,Luisenstr. 48,0251-031259
109,sqlserver,TORTU,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,05033,Avda. Azteca 123,(5) 555-2933
110,sqlserver,TRADH,Tradição Hipermercados,Anabela Domingues,Sao Paulo,Brazil,05634-030,"Av. Inês de Castro, 414",(11) 555-2167
111,sqlserver,TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Kirkland,USA,98034,722 DaVinci Blvd.,(206) 555-8257
112,sqlserver,VAFFE,Vaffeljernet,Palle Ibsen,Århus,Denmark,8200,Smagsloget 45,86 21 32 43
113,sqlserver,VICTE,Victuailles en stock,Mary Saveley,Lyon,France,69004,"2, rue du Commerce",78.32.54.86
114,sqlserver,VINET,Vins et alcools Chevalier,Paul Henriot,Reims,France,51100,59 rue de l'Abbaye,26.47.15.10
115,sqlserver,WANDK,Die Wandernde Kuh,Rita Müller,Stuttgart,Germany,70563,Adenauerallee 900,0711-020361
116,sqlserver,WARTH,Wartian Herkku,Pirkko Koskitalo,Oulu,Finland,90110,Torikatu 38,981-443655
117,sqlserver,WELLI,Wellington Importadora,Paula Parente,Resende,Brazil,08737-363,"Rua do Mercado, 12",(14) 555-8122
118,sqlserver,WHITC,White Clover Markets,Karl Jablonski,Seattle,USA,98128,305 - 14th Ave. S. Suite 3B,(206) 555-4112
119,sqlserver,WILMK,Wilman Kala,Matti Karttunen,Helsinki,Finland,21240,Keskuskatu 45,90-224 8858
120,sqlserver,WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Warszawa,Poland,01-012,ul. Filtrowa 68,(26) 642-7012
